"","Gene","Pvalue.Gain.R","Diff.Gain.R","CV.Gain.R","Pvalue.Loss.R","Diff.Loss.R","CV.Loss.R","Pvalue.GainvLoss.R","Diff.GainvLoss.R","X","Pvalue.Gain","Diff.Gain","CV.Gain","Pvalue.Loss","Diff.Loss","CV.Loss","Pvalue.GainvLoss","Diff.GainvLoss","Three.Protein.Gain","Three.Protein.Loss","Three.RNA.Gain","Three.RNA.Loss"
"625","LUM",0.37608002938042,-0.208454779398566,-6.68092170794561,0.0984915449581675,0.422756682179586,15.8372346566763,0.0361808173821638,-0.631211461578152,4189,0.655778291289842,0.0762202930513442,-28.9315302421472,0.97876758203169,-0.00539592443305732,-6.88783237929342,0.725454701214935,0.0816162174844015,"Buffering","Buffering","Anti-Scaling","Anti-Scaling"
"626","LY75",0.840490271008706,-0.0370198337542087,0.617316099618728,0.0552823449939698,-0.382913352272728,0.447868524617497,0.171293465258673,0.345893518518519,4193,0.970939964692332,-0.00361443431631263,-10.9610977807804,0.489351744678012,-0.0921512629435965,-1.71025861282229,0.569443119212946,0.0885368286272839,"Buffering","Buffering","Buffering","Scaling"
"627","LYAR",0.00165280275592097,0.299439403870162,-1.1437838087529,7.1455756539918e-18,-0.392835522252769,-0.180472089047186,1.88738077573443e-09,0.692274926122931,4194,0.126746904070709,0.168127220974682,0.412964672586199,3.34468139016521e-05,-0.241888918727355,-0.412895640899623,0.0014167336455303,0.410016139702037,"Buffering","Buffering","Scaling","Scaling"
"628","LYRM4",6.12143484233025e-11,0.587738555521058,0.688712980576309,0.000102207772414163,-0.358549936500097,-1.55325369459703,1.85109615166023e-15,0.946288492021155,4203,0.279252928913219,0.101896178016922,1.05147030306954,0.0529113972751045,-0.183578664671663,-0.378077385511084,0.0127661990513328,0.285474842688585,"Buffering","Buffering","Scaling","Scaling"
"629","LYZ",0.801268898749496,-0.0590664062967441,-2.00622867864345,0.375417127140005,0.220558041884883,-2.66189313104242,0.362254310840469,-0.279624448181627,4209,0.0566645016308264,-0.298143877964513,-1.33539770043927,0.740527976650066,0.0465165406586513,6.00693799251909,0.0516006698185193,-0.344660418623164,"Anti-Scaling","Buffering","Buffering","Anti-Scaling"
"630","MACROD1",0.0268467625151958,0.178756654510538,-1.65498472962251,5.1866672766896e-05,-0.334822666168783,-0.448332721073366,3.12095311899543e-07,0.513579320679321,4219,0.397449616779755,0.102665884632232,-20.6299416575124,0.140724137316945,-0.165995055669945,-0.659113804767486,0.0700981904531051,0.268660940302177,"Buffering","Buffering","Buffering","Scaling"
"631","MAD1L1",7.57339305227001e-07,0.363737859480242,-4.02562715001211,2.4019340196118e-11,-0.463970016750419,-0.244326720229107,1.20435037725605e-18,0.827707876230661,4221,0.00179078257741883,0.151781972520224,0.254278652127711,0.630751164494816,-0.0177484595604655,-0.467730438362929,0.000816816748057539,0.16953043208069,"Buffering","Buffering","Scaling","Scaling"
"632","MAEA",4.83891260180561e-07,0.395972808988764,0.148843458553117,4.00357035040626e-20,-0.503879105904853,-1.67980078323531,3.25644820239211e-18,0.899851914893617,4226,0.112538050231197,-0.124061136112596,-1.64958644681215,0.56467140879636,-0.0311801597850308,1.30675809435981,0.257760610136042,-0.0928809763275656,"Anti-Scaling","Buffering","Scaling","Scaling"
"633","MAN2B2",0.259020774785273,0.136130864828056,0.696957233566966,3.77903679377914e-15,-0.432909907254472,-7.93844198172381,2.54659644572232e-05,0.569040772082527,4255,0.973212126432651,0.00532205772966406,2.20019498298693,0.00990555355365189,-0.218607512375002,-1.57862391272796,0.19679874280369,0.223929570104666,"Buffering","Buffering","Buffering","Scaling"
"634","MAP2",0.785410700570541,0.0374960695974901,1.05146848659041,0.274486716454993,-0.175929557506887,1.07911670865174,0.285442561164429,0.213425627104377,4267,0.240208323185447,0.230016043815855,1.95453548901947,0.614911395452811,-0.084340433134407,-1.93497366823212,0.194709666769666,0.314356476950262,"Buffering","Buffering","Buffering","Buffering"
"635","MAP3K2",0.832267269136996,0.013915336052836,0.286568959824058,8.80342700047807e-05,-0.391792441724942,0.756988264803452,0.000249512903197221,0.405707777777778,4275,0.637056207060589,0.0443587533771487,1.25519457824336,0.255199629748224,0.116286413789255,0.650096266948418,0.579918259265814,-0.0719276604121065,"Buffering","Anti-Scaling","Buffering","Scaling"
"636","MAP4K2",0.000216065904542428,0.28689000178624,-0.380228717224712,0.898923440088507,-0.00965840227448789,-0.259667685831814,0.00119932053414421,0.296548404060727,4285,0.0602735080100784,0.146332524960878,0.402033419592252,0.0547656582111748,-0.126686951969082,-0.213542967210526,0.000604365491384104,0.27301947692996,"Buffering","Buffering","Scaling","Buffering"
"637","MAPK13",0.00171683834945376,0.312742280047625,1.08135179368797,0.000189625634410053,-0.474527017444834,-2.65377595412885,3.17382960398838e-08,0.78726929749246,4295,0.108543055788299,0.165045866208593,2.34693812536821,0.0519520228185774,-0.163444338589958,-0.30173383971758,0.00584848635597279,0.328490204798551,"Buffering","Buffering","Scaling","Scaling"
"638","MAPK14",4.08494650605194e-05,0.217409532112055,-0.951762781361284,4.22786324981774e-12,-0.542127271554689,-0.176808683505422,6.71487700619568e-18,0.759536803666744,4296,0.689414001701089,0.0184401056630357,0.767967506311315,0.0153202982557325,-0.101529498420873,-0.270559084644572,0.0255055019743209,0.119969604083909,"Buffering","Buffering","Buffering","Scaling"
"639","MARK2",0.0185656483140263,0.132077325789098,0.299167667531157,5.01447764485087e-05,-0.23924327966179,0.785626329963733,2.99459249684826e-07,0.371320605450887,4316,0.640547950378787,0.0203925808574968,0.695911938160545,0.0454828703307693,-0.08501554895126,-0.454632856714562,0.0493174872381063,0.105408129808757,"Buffering","Buffering","Buffering","Buffering"
"640","MARS",0.00509506207993762,0.266442890834101,-0.328033826119999,0.00403310990660094,-0.232652911842656,-0.158472207341814,1.38325441448479e-05,0.499095802676757,4318,0.0174687798066394,0.134343427247672,0.362006054378698,0.160111026859161,-0.0721735591223652,-0.683507216228746,0.00244658010581615,0.206516986370038,"Buffering","Buffering","Scaling","Buffering"
"641","MCAM",0.119176350953719,0.112345104652629,-49.3530108412719,0.357308698877677,0.0687482599480377,-5.7483161533993,0.616924705261907,0.0435968447045912,4353,0.260605324343782,0.084231877434945,0.861546925489849,0.905891726782209,-0.00877762047408677,3.78493014029812,0.310748564186749,0.0930094979090318,"Buffering","Buffering","Buffering","Buffering"
