"","RNA_ID","RNA_Name","RNA.Gene.Pvalue","RNA.Gene.Corr","Protein_ID","Approved_Symbol","Protein.Gene.Pvalue","Protein.Gene.Corr"
"10738","TRANK1","TRANK1..9881..y",0.0789538566959165,0.0914490588614868,"sp.O15050.TRNK1_HUMAN","TRANK1",0.372228873269171,0.0678605257540791
"10739","TRAP1","TRAP1..10131..y",1.0050250581719e-21,0.469933712669922,"sp.Q12931.TRAP1_HUMAN","TRAP1",1.46629655977911e-12,0.356964628698195
"10740","TRAPPC1","TRAPPC1..58485..y",2.05940200999489e-43,0.636458249863423,"sp.Q9Y5R8.TPPC1_HUMAN","TRAPPC1",0.691388650836272,-0.0224174099285084
"10741","TRAPPC10","TRAPPC10..7109..y",6.50058136937469e-35,0.581922276407884,"sp.P48553.TPC10_HUMAN","TRAPPC10",1.41178933682825e-07,0.272714380742939
"10742","TRAPPC11","TRAPPC11..60684..y",7.11092855810628e-42,0.627346385207443,"sp.Q7Z392.TPC11_HUMAN","TRAPPC11",0.000425183139183436,0.182280474882811
"10743","TRAPPC12","TRAPPC12..51112..y",5.26447429562948e-22,0.472806426127211,"sp.Q8WVT3.TPC12_HUMAN","TRAPPC12",0.939637850085037,-0.00395010803324609
"10744","TRAPPC13","TRAPPC13..80006..y",2.28367383596949e-24,0.495959533613278,"sp.A5PLN9.5.TPC13_HUMAN",NA,0.000943496701167113,0.175263529934497
"10745","TRAPPC2","TRAPPC2..6399..y",8.83643263114891e-35,0.580977562240213,"sp.P0DI81.3.TPC2A_HUMAN",NA,0.143616029514058,0.091840166531384
"10746","TRAPPC2L","TRAPPC2L..51693..y",1.01693710218932e-21,0.469881113145446,"sp.Q9UL33.TPC2L_HUMAN","TRAPPC2L",0.0472840592932617,0.103203766169827
"10747","TRAPPC3","TRAPPC3..27095..y",6.93972705270149e-49,0.666572452949301,"sp.O43617.TPPC3_HUMAN","TRAPPC3",5.48662144957416e-05,0.20811436343391
"10748","TRAPPC4","TRAPPC4..51399..y",1.4664710579332e-28,0.533140829101725,"sp.Q9Y296.TPPC4_HUMAN","TRAPPC4",0.0769849132614576,0.0920537656819236
"10749","TRAPPC5","TRAPPC5..126003..y",3.18984119806672e-19,0.443069930146967,"sp.Q8IUR0.TPPC5_HUMAN","TRAPPC5",0.0134304361088651,0.130011198879433
"10750","TRAPPC6A","TRAPPC6A..79090..y",2.80731562479306e-06,0.240755496958323,"sp.O75865.2.TPC6A_HUMAN",NA,0.224124037735113,0.0706286995505836
"10751","TRAPPC6B","TRAPPC6B..122553..y",7.69854847584689e-38,0.601914648878782,"sp.Q86SZ2.TPC6B_HUMAN","TRAPPC6B",1.38930031875142e-12,0.357316409607481
"10752","TRAPPC8","TRAPPC8..22878..y",2.49200903782022e-56,0.702571796705391,"sp.Q9Y2L5.TPPC8_HUMAN","TRAPPC8",9.99111551836309e-21,0.459505359619378
"10753","TRAPPC9","TRAPPC9..83696..y",8.44624483690346e-20,0.449481412078641,"sp.Q96Q05.2.TPPC9_HUMAN",NA,0.0221886146285248,0.120354456053294
"10754","TRDMT1","TRDMT1..1787..y",3.72131381276056e-11,0.33503052033246,"sp.O14717.TRDMT_HUMAN","TRDMT1",0.0289946888456787,0.24580500604764
"10755","TREM1","TREM1..54210..y",0.661961388088859,0.0228035015358612,"sp.Q9NP99.TREM1_HUMAN","TREM1",0.538788100285264,-0.0963534929915659
"10756","TRERF1","TRERF1..55809..y",0.00126948631299667,0.166932589719438,"sp.Q96PN7.TREF1_HUMAN","TRERF1",0.00967882021050482,0.143097601927939
"10757","TREX1","TREX1..11277..y",0.000785150291657555,0.17383023108997,"sp.Q9NSU2.TREX1_HUMAN","TREX1",0.372912609781587,0.0464546623321915
"10758","TRHDE","TRHDE..29953..y",0.791397248668364,0.0137965539754404,"sp.Q9UKU6.TRHDE_HUMAN","TRHDE",0.106249561682734,0.173361927022538
"10759","TRIAP1","TRIAP1..51499..y",1.08541972946264e-22,0.479709665721845,"sp.O43715.TRIA1_HUMAN","TRIAP1",0.265875892784608,0.142310587901683
"10760","TRIB1","TRIB1..10221..y",3.89514937922241e-15,0.393282856230106,"sp.Q96RU8.TRIB1_HUMAN","TRIB1",0.00109274968528162,0.593823043114381
"10761","TRIB3","TRIB3..57761..y",1.42974898699626e-05,0.223483119904331,"tr.J3KR25.J3KR25_HUMAN",NA,0.0159277649029095,0.176550792787102
"10762","TRIL","TRIL..9865..y",0.000502049830230347,0.180027905743783,"sp.Q7L0X0.TRIL_HUMAN","TRIL",0.0726672590784864,0.229571276970026
"10763","TRIM11","TRIM11..81559..y",1.49266323879071e-28,0.533076668925087,"sp.Q96F44.TRI11_HUMAN","TRIM11",0.19478171109605,0.0675566424333841
"10764","TRIM13","TRIM13..10206..y",2.96908805208206e-17,0.420113143464326,"sp.O60858.3.TRI13_HUMAN",NA,4.01849033576836e-06,0.259252202427683
"10765","TRIM14","TRIM14..9830..y",4.40473524490513e-12,0.349694412539841,"sp.Q14142.TRI14_HUMAN","TRIM14",1.88340895579391e-09,0.305837913433912
"10766","TRIM15","TRIM15..89870..y",0.355133389458934,-0.0482068849599611,"sp.Q9C019.TRI15_HUMAN","TRIM15",0.452685553149182,-0.133192587696751
"10767","TRIM16","TRIM16..10626..y",3.71082458361581e-13,0.3657937282741,"sp.O95361.TRI16_HUMAN","TRIM16",2.69292695581562e-05,0.218720772952385
"10768","TRIM2","TRIM2..23321..y",0.00617627495551361,0.142113695090843,"sp.Q9C040.2.TRIM2_HUMAN",NA,0.013160941717256,0.128795573820579
"10769","TRIM21","TRIM21..6737..y",1.18614259842493e-17,0.424902741983739,"sp.P19474.RO52_HUMAN","TRIM21",6.78695144230623e-14,0.376347970920849
"10770","TRIM22","TRIM22..10346..y",0.014968358456335,0.126413016260799,"sp.Q8IYM9.TRI22_HUMAN","TRIM22",0.127203933573561,0.0897708630496889
"10771","TRIM23","TRIM23..373..y",8.89112578569018e-23,0.480570814795115,"sp.P36406.TRI23_HUMAN","TRIM23",0.298006721302737,0.0737665510314104
"10772","TRIM24","TRIM24..8805..y",1.39368452082991e-11,0.341874901976571,"sp.O15164.TIF1A_HUMAN","TRIM24",0.00353429034972245,0.151285139616353
"10773","TRIM25","TRIM25..7706..y",2.03741627070781e-05,0.219540543520478,"sp.Q14258.TRI25_HUMAN","TRIM25",0.0151341309956605,0.126207358419131
"10774","TRIM26","TRIM26..7726..y",9.82849288945353e-20,0.448756943796876,"sp.Q12899.TRI26_HUMAN","TRIM26",9.80036345124912e-06,0.236215566153172
"10775","TRIM27","TRIM27..5987..y",4.44896780694081e-35,0.583085022394632,"sp.P14373.TRI27_HUMAN","TRIM27",4.17737661436494e-06,0.236658534214409
"10776","TRIM28","TRIM28..10155..y",2.77078816985048e-31,0.555045446906574,"sp.Q13263.TIF1B_HUMAN","TRIM28",1.74154718149094e-22,0.477658979854013
"10777","TRIM29","TRIM29..23650..y",0.00326762295616206,0.152534972877249,"sp.Q14134.TRI29_HUMAN","TRIM29",0.00952759264977839,0.134620117421818
"10778","TRIM29","TRIM29..23650..y",0.00326762295616206,0.152534972877249,"tr.H0YF27.H0YF27_HUMAN",NA,0.854546049369418,0.0219867968880352
"10779","TRIM3","TRIM3..10612..y",5.04865221155146e-07,0.257657468130294,"sp.O75382.TRIM3_HUMAN","TRIM3",1.78199378929537e-09,0.309904535783961
"10780","TRIM31","TRIM31..11074..y",0.323518711450404,-0.0514649501432098,"sp.Q9BZY9.TRI31_HUMAN","TRIM31",0.553499864692431,-0.0906981357342493
"10781","TRIM32","TRIM32..22954..y",6.98299185111217e-18,0.427634023387703,"sp.Q13049.TRI32_HUMAN","TRIM32",4.15894893449839e-09,0.29953859989324
"10782","TRIM33","TRIM33..51592..y",2.89050206589708e-42,0.629691275342193,"sp.Q9UPN9.2.TRI33_HUMAN",NA,1.60306531009916e-37,0.599805117477743
"10783","TRIM33","TRIM33..51592..y",2.89050206589708e-42,0.629691275342193,"tr.H0Y612.H0Y612_HUMAN",NA,4.62912368795274e-17,0.464866876243163
"10784","TRIM35","TRIM35..23087..y",1.90501500292972e-61,0.724525097212615,"sp.Q9UPQ4.2.TRI35_HUMAN",NA,0.554587834671179,0.0830052874777442
"10785","TRIM36","TRIM36..55521..y",0.00451545310876592,0.147321650263637,"sp.Q9NQ86.TRI36_HUMAN","TRIM36",0.0512823689065176,0.143922077215856
"10786","TRIM37","TRIM37..4591..y",9.35270064812553e-36,0.587818403996151,"sp.O94972.TRI37_HUMAN","TRIM37",0.481212039575239,0.0523905988216642
"10787","TRIM38","TRIM38..10475..y",0.000477400959566649,0.180713105647994,"sp.O00635.TRI38_HUMAN","TRIM38",0.00108571622988939,0.175685814278261
"10788","TRIM39","TRIM39..56658..y",1.23838889093585e-47,0.659983049804669,"sp.Q9HCM9.TRI39_HUMAN","TRIM39",0.00276967747086325,0.268668413567104
"10789","TRIM4","TRIM4..89122..y",2.11885692214411e-17,0.421883143693256,"sp.Q9C037.TRIM4_HUMAN","TRIM4",5.1546511613953e-06,0.234461517284798
"10790","TRIM41","TRIM41..90933..y",1.07395969830811e-23,0.489548212022332,"sp.Q8WV44.TRI41_HUMAN","TRIM41",1.87491887386454e-07,0.28376437556032
"10791","TRIM44","TRIM44..54765..y",2.25145891833344e-24,0.496017747558061,"sp.Q96DX7.TRI44_HUMAN","TRIM44",8.47390107574907e-16,0.469932006178929
"10792","TRIM46","TRIM46..80128..y",9.12744579212085e-07,0.251959697992458,"sp.Q7Z4K8.TRI46_HUMAN","TRIM46",0.297739604951328,-0.164542260586595
"10793","TRIM47","TRIM47..91107..y",0.00317185055099925,0.153006523199524,"sp.Q96LD4.TRI47_HUMAN","TRIM47",0.0195361377630347,0.121359726018662
"10794","TRIM5","TRIM5..85363..y",6.76235702650028e-12,0.346809536039883,"sp.Q9C035.TRIM5_HUMAN","TRIM5",0.00097759587740247,0.172812904681447
"10795","TRIM55","TRIM55..84675..y",0.304307129067197,0.0535465634902897,"sp.Q9BYV6.TRI55_HUMAN","TRIM55",0.800180107492144,-0.0328044674575779
"10796","TRIM56","TRIM56..81844..y",3.96102079092568e-15,0.393186278934823,"sp.Q9BRZ2.TRI56_HUMAN","TRIM56",4.0455318605123e-11,0.334440505723963
"10797","TRIM58","TRIM58..25893..y",0.571378942991177,0.0295195436043405,"sp.Q8NG06.TRI58_HUMAN","TRIM58",0.678334856048728,-0.0450940092415732
"10798","TRIM62","TRIM62..55223..y",6.66126742955639e-13,0.362067676830539,"sp.Q9BVG3.TRI62_HUMAN","TRIM62",0.0183869886628155,0.32589902679183
"10799","TRIM63","TRIM63..84676..y",5.65668802910122e-05,0.20775230764569,"sp.Q969Q1.TRI63_HUMAN","TRIM63",0.193233576994127,0.167474862943754
"10800","TRIM65","TRIM65..201292..y",4.13089580349978e-10,0.317500522245868,"sp.Q6PJ69.TRI65_HUMAN","TRIM65",7.6861267844227e-06,0.230226283196861
"10801","TRIM67","TRIM67..440730..y",0.0350025685021946,0.109647121535933,"sp.Q6ZTA4.TRI67_HUMAN","TRIM67",0.53755271625188,0.106210029994502
"10802","TRIM68","TRIM68..55128..y",3.59353188082705e-24,0.494096039069985,"sp.Q6AZZ1.TRI68_HUMAN","TRIM68",0.000263872503383737,0.477191404121889
"10803","TRIM71","TRIM71..131405..y",0.152837655120742,0.0744690628536643,"sp.Q2Q1W2.LIN41_HUMAN","TRIM71",0.0707890931797922,0.194670205368982
"10804","TRIM72","TRIM72..493829..y",0.349486863135309,0.0487748341492198,"sp.Q6ZMU5.TRI72_HUMAN","TRIM72",0.049456586749627,-0.140893619792355
"10805","TRIM8","TRIM8..81603..y",3.21450653640059e-23,0.484924928250084,"sp.Q9BZR9.TRIM8_HUMAN","TRIM8",3.74451833126411e-06,0.311552171040364
"10806","TRIM9","TRIM9..114088..y",0.0611795263790432,-0.0974288165428421,"sp.Q9C026.TRIM9_HUMAN","TRIM9",0.359893831888397,-0.067881229592077
"10807","TRIML2","TRIML2..205860..y",0.30340271746822,0.0536466620713921,"sp.Q8N7C3.TRIMM_HUMAN","TRIML2",0.431316358268151,0.121697357400479
"10808","TRIO","TRIO..7204..y",1.40042951077725e-21,0.468449189654825,"sp.O75962.TRIO_HUMAN","TRIO",4.03323250678657e-15,0.39308219874522
"10809","TRIOBP","TRIOBP..11078..y",1.76776535750502e-19,0.445934592617836,"sp.Q9H2D6.TARA_HUMAN","TRIOBP",5.7076617393477e-07,0.256488082776317
"10810","TRIP10","TRIP10..9322..y",0.389529779793953,0.044863000555802,"sp.Q15642.CIP4_HUMAN","TRIP10",0.0100740781921374,0.13362991980398
"10811","TRIP10","TRIP10..9322..y",0.389529779793953,0.044863000555802,"sp.Q15642.2.CIP4_HUMAN",NA,0.0146592424750735,0.142955453479942
"10812","TRIP11","TRIP11..9321..y",5.04022397212204e-41,0.622174903863504,"sp.Q15643.TRIPB_HUMAN","TRIP11",1.97655590946772e-19,0.445394847846588
"10813","TRIP12","TRIP12..9320..y",4.46957402172336e-29,0.537415909992942,"sp.Q14669.2.TRIPC_HUMAN",NA,1.00571533478264e-07,0.396849512242991
"10814","TRIP12","TRIP12..9320..y",4.46957402172336e-29,0.537415909992942,"sp.Q14669.3.TRIPC_HUMAN",NA,8.942050877658e-19,0.438001313237406
"10815","TRIP13","TRIP13..9319..y",5.96273808957435e-44,0.639576175927494,"sp.Q15645.PCH2_HUMAN","TRIP13",1.39714930776117e-20,0.457952436987252
"10816","TRIP4","TRIP4..9325..y",1.56525738194397e-22,0.478123075858882,"sp.Q15650.TRIP4_HUMAN","TRIP4",1.92277594697374e-07,0.266666283403861
"10817","TRIP6","TRIP6..7205..y",2.34259145807727e-06,0.242597020243474,"sp.Q15654.TRIP6_HUMAN","TRIP6",0.000100946128075386,0.200760941956625
"10818","TRIQK","TRIQK..286144..y",3.58746025680656e-06,0.238236487258479,"sp.Q629K1.TRIQK_HUMAN","TRIQK",0.0204706004521057,0.13820886049434
"10819","TRIT1","TRIT1..54802..y",5.68048680532681e-57,0.705442569652245,"sp.Q9H3H1.MOD5_HUMAN","TRIT1",1.33591700611033e-14,0.394599536397628
"10820","TRMT1","TRMT1..55621..y",5.53286642022719e-27,0.519688347673673,"sp.Q9NXH9.TRM1_HUMAN","TRMT1",3.19371668441427e-18,0.431622132957623
"10821","TRMT10A","TRMT10A..93587..y",1.67358241921036e-15,0.398107459912031,"sp.Q8TBZ6.TM10A_HUMAN","TRMT10A",7.71746103444248e-08,0.308612659692525
"10822","TRMT10C","TRMT10C..54931..y",1.09363634657981e-26,0.51709520347687,"sp.Q7L0Y3.MRRP1_HUMAN","TRMT10C",1.7069389943906e-15,0.397995642086422
"10823","TRMT11","TRMT11..60487..y",2.09307244887027e-32,0.563618031999705,"sp.Q7Z4G4.TRM11_HUMAN","TRMT11",5.21075498905527e-05,0.216652372604803
"10824","TRMT112","TRMT112..51504..y",2.90423168399794e-30,0.547026146404877,"sp.Q9UI30.TR112_HUMAN","TRMT112",0.45490440776144,0.0389654786405499
