"","RNA_Name","RNA_ID","RNA.Pvalue.Gain","RNA.Diff.Gain","RNA.Pvalue.Loss","RNA.Diff.Loss","RNA.Pvalue.GainvLoss","RNA.Diff.GainvLoss","Protein_ID","Protein.Pvalue.Gain","Protein.Diff.Gain","Protein.Pvalue.Loss","Protein.Diff.Loss","Protein.Pvalue.GainvLoss","Protein.Diff.GainvLoss","Three.RNA.Gain","Three.RNA.Loss","Three.Protein.Gain","Three.Protein.Loss"
"2056","MRPL23","MRPL23",0.0377336814629812,0.253661895114416,3.9553342952798e-10,-0.468940099483252,5.13902805780841e-07,0.722601994597667,"sp.Q16540.RM23_HUMAN",0.0884440593332971,0.113328244057078,0.633608896176885,-0.0247849917143137,0.0521136762596919,0.138113235771392,"Scaling","Scaling","Buffering","Buffering"
"2057","MRPL24","MRPL24",1.04514954911354e-05,0.336226775903983,0.00045623763641069,-0.422578199695569,5.05883455492757e-08,0.758804975599552,"sp.Q96A35.RM24_HUMAN",0.973224282226188,-0.0022209022973503,0.272148135896538,0.0873511304001766,0.322936812299579,-0.0895720326975269,"Scaling","Scaling","Buffering","Buffering"
"2058","MRPL3","MRPL3",0.000152756779614789,0.289879465756423,0.0109362839279245,-0.228586220064559,4.76229478597765e-06,0.518465685820981,"tr.H0Y9G6.H0Y9G6_HUMAN",0.145538937285326,0.0918907619937405,0.386798668876204,0.0699081770487667,0.808563723209154,0.0219825849449738,"Scaling","Buffering","Buffering","Buffering"
"2059","MRPL30","MRPL30",0.0995471668584058,0.138117292641486,0.0207709553350063,-0.189278378627369,0.00307187492974111,0.327395671268856,"sp.Q8TCC3.2.RM30_HUMAN",0.0924146088652701,-0.123873100880048,0.103088655273437,-0.118001101250147,0.949052368126259,-0.00587199962990063,"Buffering","Buffering","Anti-Scaling","Buffering"
"2060","MRPL32","MRPL32",1.87581163890563e-12,0.380915952491202,0.00176512831969396,-0.28845952920681,3.89801767183096e-10,0.669375481698012,"sp.Q9BYC8.RM32_HUMAN",0.734906612615406,-0.0186844397317722,0.598655459846946,-0.0528050153254132,0.735436552344472,0.0341205755936411,"Scaling","Scaling","Buffering","Buffering"
"2061","MRPL37","MRPL37",0.000212945618121122,0.336012087859565,1.3596477629584e-08,-0.351368854027222,4.12797064991467e-10,0.687380941886787,"sp.Q9BZE1.RM37_HUMAN",0.435219127455966,0.0719309740669603,0.645078177050375,0.0278477292989427,0.666704768534419,0.0440832447680177,"Scaling","Scaling","Buffering","Buffering"
"2062","MRPL38","MRPL38",3.33402528739457e-07,0.333383329000511,0.000853051918603494,-0.243975639748964,5.7145896425651e-10,0.577358968749475,"sp.Q96DV4.RM38_HUMAN",0.465123968307145,0.0387338828925339,0.237381798221765,-0.0806590040821885,0.128337483898786,0.119392886974722,"Scaling","Buffering","Buffering","Buffering"
"2063","MRPL39","MRPL39",0.000591982569079897,0.370338596869151,1.59711138502007e-10,-0.415866132298146,7.65431291941781e-10,0.786204729167297,"sp.Q9NYK5.RM39_HUMAN",0.880002584478588,-0.0131428243238228,0.373711721139086,-0.0449089224845724,0.727658038263861,0.0317660981607496,"Scaling","Scaling","Buffering","Buffering"
"2064","MRPL4","MRPL4",0.134785983049028,0.213889091828871,2.36299016020791e-10,-0.388436271705814,0.000262595264802257,0.602325363534685,"sp.Q9BYD3.RM04_HUMAN",0.238020423352651,-0.165589632239983,0.372231623592385,0.0472250771548866,0.133715071666479,-0.21281470939487,"Buffering","Scaling","Anti-Scaling","Buffering"
"2065","MRPL41","MRPL41",0.207322997145105,0.170074785532649,0.0354025423964065,-0.200614935114936,0.0119249180869997,0.370689720647585,"sp.Q8IXM3.RM41_HUMAN",0.833286832468766,0.0169007640104675,0.877290926439253,-0.00967603313913963,0.762035263390245,0.0265767971496072,"Buffering","Buffering","Buffering","Buffering"
"2066","MRPL44","MRPL44",0.0264780415934607,0.202466427383131,3.08660043156029e-05,-0.308509962368665,7.61674508704223e-06,0.510976389751796,"sp.Q9H9J2.RM44_HUMAN",0.0562378288780878,0.129427692481702,0.883380421653014,0.00891432645303127,0.135501118959523,0.120513366028671,"Buffering","Scaling","Buffering","Buffering"
"2067","MRPL45","MRPL45",0.0130813003772878,0.190334679416677,0.000648303659004923,-0.297547705655668,6.18691761657693e-06,0.487882385072345,"sp.Q9BRJ2.RM45_HUMAN",0.973944818031329,-0.00196937541854356,0.210368969027077,-0.106403833188149,0.277387731306789,0.104434457769606,"Buffering","Scaling","Buffering","Buffering"
"2068","MRPL46","MRPL46",0.00100969056963898,0.345548479732687,4.61331107714711e-07,-0.321535027162947,1.52781754926351e-07,0.667083506895635,"sp.Q9H2W6.RM46_HUMAN",0.843655176866368,0.0207434602277909,0.0298846266955308,-0.122217548746039,0.196596413062757,0.14296100897383,"Scaling","Scaling","Buffering","Buffering"
"2069","MRPL48","MRPL48",0.168333662329824,0.114364684326296,0.00253036765677648,-0.253523688126684,0.000665629280645639,0.36788837245298,"sp.Q96GC5.RM48_HUMAN",0.0727305428437563,0.136845827920569,0.384607635623311,0.0531373211743496,0.304588342457962,0.0837085067462195,"Buffering","Scaling","Buffering","Buffering"
"2070","MRPL49","MRPL49",0.00101658626518009,0.27781045130818,0.0216821375831869,-0.163416370853658,1.23380886805925e-05,0.441226822161838,"sp.Q13405.RM49_HUMAN",0.121616574024711,0.104777359526504,0.721468140097325,-0.0245549242283471,0.100657349976084,0.129332283754851,"Scaling","Buffering","Buffering","Buffering"
"2071","MRPL50","MRPL50",0.00166418081724789,0.236680995653072,4.07093512531138e-15,-0.494403368990595,4.59405060297192e-14,0.731084364643666,"sp.Q8N5N7.RM50_HUMAN",0.297636613826802,0.0856843325128633,0.977218146772525,0.00184266044389203,0.334416394826304,0.0838416720689713,"Buffering","Scaling","Buffering","Buffering"
"2072","MRPL53","MRPL53",0.00657506444492926,0.223176483249814,0.011601258953426,-0.268994101989276,0.00010205575040363,0.49217058523909,"sp.Q96EL3.RM53_HUMAN",0.571072101847133,0.0480824555066485,0.930396550605033,0.00830842853334937,0.731248787697196,0.0397740269732991,"Buffering","Scaling","Buffering","Buffering"
"2073","MRPL55","MRPL55",3.48947601759812e-10,0.347252976091945,0.0100656055650134,-0.231559289635396,4.2108210358293e-08,0.578812265727342,"sp.Q7Z7F7.2.RM55_HUMAN",0.703844737457579,0.0282708650404059,0.225099581915359,-0.117162031208746,0.189638502288527,0.145432896249152,"Scaling","Buffering","Buffering","Buffering"
"2074","MRPS10","MRPS10",0.000485593908481052,0.32136482492569,0.00393696865373003,-0.192440997045899,2.08203799774305e-06,0.513805821971588,"sp.P82664.RT10_HUMAN",0.892540981817513,-0.0114034214019233,0.12244639911163,-0.101018681601239,0.360197041533866,0.0896152601993159,"Scaling","Buffering","Buffering","Buffering"
"2075","MRPS11","MRPS11",0.000459304716813312,0.348914695159213,3.24458682235967e-05,-0.287513764158903,1.02831485982335e-07,0.636428459318116,"sp.P82912.RT11_HUMAN",0.0585922638422165,0.175727556448333,0.235436578959055,0.0664255503278008,0.24646184006327,0.109302006120532,"Scaling","Scaling","Buffering","Buffering"
"2076","MRPS12","MRPS12",4.06087378649148e-06,0.384700589833774,0.408198111939363,-0.0683664312590304,2.44183985761352e-05,0.453067021092805,"sp.O15235.RT12_HUMAN",0.126030456511339,0.100361737371445,0.258259682999044,-0.0797603501748201,0.0325920508744794,0.180122087546265,"Scaling","Buffering","Buffering","Buffering"
"2077","MRPS15","MRPS15",0.000278073478104942,0.255679493418564,2.4270874205221e-06,-0.270137200770279,1.76994368469697e-09,0.525816694188842,"sp.P82914.RT15_HUMAN",0.405596777008237,0.0848450475753224,0.936699450543355,0.00603058023675171,0.49479414749134,0.0788144673385707,"Scaling","Scaling","Buffering","Buffering"
"2078","MRPS16","MRPS16",2.12897958816875e-05,0.483430626843257,2.13154748791286e-06,-0.297163328248758,4.74524685928814e-09,0.780593955092015,"sp.Q9Y3D3.RT16_HUMAN",0.547703958520977,0.0773573630089924,0.997525787589905,-0.000195876788559368,0.566685189608148,0.0775532397975518,"Scaling","Scaling","Buffering","Buffering"
"2079","MRPS17","MRPS17",2.15141465775536e-08,0.349154767161923,0.0013393365793409,-0.279340340531685,1.13355701969445e-10,0.628495107693608,"tr.I3L0E3.I3L0E3_HUMAN",0.312607203966716,0.0669696533556602,0.66203825979695,0.0375228947847451,0.716478284777092,0.0294467585709151,"Scaling","Scaling","Buffering","Buffering"
"2080","MRPS18A","MRPS18A",0.0369006177138,0.175972201379304,0.00946326838124054,-0.172258576079385,0.00056722100505177,0.348230777458689,"sp.Q9NVS2.RT18A_HUMAN",0.31324864970905,-0.0649426860446808,0.0394852673813491,-0.115617363321487,0.502867445859955,0.0506746772768066,"Buffering","Buffering","Buffering","Buffering"
"2081","MRPS18B","MRPS18B",0.0397906915644562,0.176881022922083,0.000452640014982964,-0.293178970333713,2.98813791912108e-05,0.470059993255796,"sp.Q9Y676.RT18B_HUMAN",0.511192003583957,-0.0534415987050711,0.228032178942212,-0.0764463262708007,0.805994109481665,0.0230047275657295,"Buffering","Scaling","Buffering","Buffering"
"2082","MRPS2","MRPS2",0.136886829671695,0.120928496116433,7.93739706818659e-06,-0.349759251135175,6.37402202613772e-06,0.470687747251608,"sp.Q9Y399.RT02_HUMAN",0.0559178397470963,0.118617442588062,0.673767039890155,-0.0224397972374239,0.0385098454788831,0.141057239825486,"Buffering","Scaling","Buffering","Buffering"
"2083","MRPS22","MRPS22",2.21416294308269e-06,0.318356049791843,0.0920470208782762,-0.174655016985259,4.20804059314006e-05,0.493011066777102,"sp.P82650.RT22_HUMAN",0.000493245532114153,0.209465968599893,0.996452068225753,-0.000361009043100604,0.0217993553667323,0.209826977642993,"Scaling","Buffering","Buffering","Buffering"
"2084","MRPS23","MRPS23",1.356111490729e-07,0.345663205096378,2.71633404709656e-05,-0.349641231608676,4.68015544015943e-12,0.695304436705054,"sp.Q9Y3D9.RT23_HUMAN",0.546154187439172,0.0395566982825213,0.654701419765748,0.0363299410220002,0.972899748756935,0.00322675726052114,"Scaling","Scaling","Buffering","Buffering"
"2085","MRPS25","MRPS25",0.0195646065085608,0.285991195503561,5.87016563028138e-20,-0.632758801255146,6.85945977852867e-08,0.918749996758707,"sp.P82663.RT25_HUMAN",0.642018740748498,-0.0545145402632469,0.931380146926436,-0.00508299928513122,0.675228293032901,-0.0494315409781157,"Scaling","Scaling","Buffering","Buffering"
"2086","MRPS26","MRPS26",1.36463575309361e-07,0.3907887944044,3.9107363801128e-12,-0.618470081999646,9.71348697374388e-22,1.00925887640405,"sp.Q9BYN8.RT26_HUMAN",0.903132960408398,0.00696402980366507,0.110934351819484,-0.100662954387653,0.0981681735362652,0.107626984191318,"Scaling","Scaling","Buffering","Buffering"
"2087","MRPS28","MRPS28",2.28394710707844e-09,0.416024498730429,0.00121588829860317,-0.359907239892849,1.6723295040818e-09,0.775931738623278,"sp.Q9Y2Q9.RT28_HUMAN",0.701157578048849,0.0232878215810805,0.543106051617881,0.0491893921006869,0.769414217917022,-0.0259015705196064,"Scaling","Scaling","Buffering","Buffering"
"2088","MRPS30","MRPS30",5.4837219090098e-11,0.449550737226109,0.0178279048935527,-0.317404611022734,9.5595900410957e-07,0.766955348248843,"sp.Q9NP92.RT30_HUMAN",0.109267359696069,0.084720890710536,0.417320577969509,0.0713869398434597,0.88141269175444,0.0133339508670763,"Scaling","Scaling","Buffering","Buffering"
