"","X","RNA_Name","RNA_ID","RNA.Pvalue.Gain","RNA.Diff.Gain","RNA.Pvalue.Loss","RNA.Diff.Loss","RNA.Pvalue.GainvLoss","RNA.Diff.GainvLoss","Protein_ID","Protein.Pvalue.Gain","Protein.Diff.Gain","Protein.Pvalue.Loss","Protein.Diff.Loss","Protein.Pvalue.GainvLoss","Protein.Diff.GainvLoss","Three.RNA.Gain","Three.RNA.Loss","Three.Protein.Gain","Three.Protein.Loss"
"1322",1322,"CDH1","CDH1..999.",0.205992550475379,0.762333033012589,0.837134289776321,0.0727553182096536,0.278715333399564,0.689577714802935,"sp.P12830.CADH1_HUMAN",0.971323858424781,0.0127555741162561,0.714932787944325,-0.0749471513464411,0.812076953312604,0.0877027254626972,"Scaling","Buffering","Buffering","Buffering"
"6499",6499,"RAC1","RAC1..5879.",2.12527628575929e-14,0.468326625002536,0.000509720072252328,-0.456828166388726,7.90376038122064e-10,0.925154791391262,"sp.P63000.2.RAC1_HUMAN",0.31216812729853,0.0464027523077737,0.777121716132543,0.0173921471552187,0.646970431046585,0.0290106051525551,"Scaling","Scaling","Buffering","Buffering"
"6707",6707,"RHOA","RHOA..387.",0.08861396741383,0.220745910357726,3.83622516718859e-16,-0.473738729231023,2.39380863442494e-05,0.694484639588749,"sp.P61586.RHOA_HUMAN",0.69809138950522,0.0473494879632558,0.00306967481573449,-0.139057452025044,0.140390542382791,0.1864069399883,"Buffering","Scaling","Buffering","Buffering"
"1346",1346,"CDK4","CDK4..1019.",0.648314168023498,0.0625700400682447,0.32430616578366,-0.133140378162055,0.275508745439168,0.195710418230299,"sp.P11802.CDK4_HUMAN",0.716819396664172,0.0555487025978812,0.844636017078425,-0.0270914595706992,0.665364051568377,0.0826401621685804,"Buffering","Buffering","Buffering","Buffering"
"3329",3329,"GTF2I","GTF2I..2969.",0.00177085638487591,0.241630075176831,0.000148974518258727,-0.364260733432381,1.71740041167406e-08,0.605890808609212,"sp.P78347.GTF2I_HUMAN",0.38744602965467,0.06019215912609,0.0579242544542733,-0.203425597885309,0.0219378946602369,0.2636177570114,"Buffering","Scaling","Buffering","Buffering"
"281",281,"AKT1","AKT1..207.",0.00465621501840492,0.322250773115338,6.45047822192489e-07,-0.378668584560342,9.48095165676559e-08,0.70091935767568,"sp.P31749.AKT1_HUMAN",0.632502365114668,0.0602073160989996,0.0683053650084271,-0.148223703181452,0.116162721621631,0.208431019280452,"Scaling","Scaling","Buffering","Buffering"
"9076",9076,"XPO1","XPO1..7514.",0.104583968352035,0.136586795029242,0.0554725194593638,-0.166765403726375,0.00723386859153605,0.303352198755617,"sp.O14980.XPO1_HUMAN",0.324348722462942,0.0621899209668923,0.291487153931107,-0.0746394609856297,0.114584980674173,0.136829381952522,"Buffering","Buffering","Buffering","Buffering"
"5272",5272,"NPM1","NPM1..4869.",3.74193649497761e-06,0.381905149905004,1.59901673585437e-05,-0.364247099406283,8.35823039894439e-12,0.746152249311287,"sp.P06748.NPM_HUMAN",0.555033125959496,0.0630402003977596,0.00801366075061751,-0.203436884915333,0.0296185083838467,0.266477085313093,"Scaling","Scaling","Buffering","Buffering"
"2568",2568,"ERCC2","ERCC2..2068.",2.18673657287749e-05,0.436029848551082,0.0153837142067048,-0.229538635879541,7.68805511237946e-08,0.665568484430623,"sp.P18074.ERCC2_HUMAN",0.261509208593517,0.075499825961537,0.510926525813139,0.0427638402558583,0.67750577822491,0.0327359857056787,"Scaling","Buffering","Buffering","Buffering"
"4553",4553,"MET","MET..4233.",0.00968782809178126,0.632179442042662,0.480744668696021,0.215478128417701,0.181582719604937,0.41670131362496,"sp.P08581.MET_HUMAN",0.614402453226133,0.0757923454491912,0.953734929421629,0.0111649172945995,0.737330355180574,0.0646274281545916,"Scaling","Anti-Scaling","Buffering","Buffering"
