"","Gene_Symbol","Protein_ID.x","Protein.Diff.Gain.RPAA","Protein.Diff.Loss.RPAA","X","RNA_ID","RNA.Pvalue.Gain","RNA.Diff.Gain","RNA.Pvalue.Loss","RNA.Diff.Loss","RNA.Pvalue.GainvLoss","RNA.Diff.GainvLoss","Protein_ID.y","Protein.Pvalue.Gain","Protein.Diff.Gain","Protein.Pvalue.Loss","Protein.Diff.Loss","Protein.Pvalue.GainvLoss","Protein.Diff.GainvLoss","Three.RNA.Gain","Three.RNA.Loss","Three.Protein.Gain","Three.Protein.Loss"
"65","LCK","Lck",-0.467344221790772,-0.206102220386485,4114,"LCK..3932.",0.00435924494163455,-0.457482291318718,0.0584285095772234,-0.249522675209764,0.178097436162254,-0.207959616108954,"sp.P06239.3.LCK_HUMAN",0.326729262299683,-0.393851482407177,0.0817176619689488,-0.441059816027626,0.901101093998569,0.0472083336204493,"Anti-Scaling","Buffering","Anti-Scaling","Scaling"
"66","MAP2K1","MEK1",0.114265255841715,-0.195117299588149,4377,"MAP2K1..5604.",0.000278029548847034,0.477271055687372,0.183054798839171,-0.0971710031151325,4.48701151131287e-05,0.574442058802505,"sp.Q02750.MP2K1_HUMAN",0.154320856321612,0.195436279568783,0.00128690965120848,-0.249074453661618,0.00373261251116395,0.4445107332304,"Scaling","Buffering","Buffering","Buffering"
"67","MAPK1","ERK2",0.243522518343524,-0.164653980218317,4405,"MAPK1..5594.",0.000518615362582936,0.628005544272251,0.000397989019302656,-0.30372609319539,3.69979052449689e-06,0.931731637467641,"sp.P28482.MK01_HUMAN",0.0386856680510406,0.384853873580402,0.000437633757740124,-0.260860512926499,0.00134994969129177,0.645714386506901,"Scaling","Scaling","Scaling","Scaling"
"68","MAPK14","p38 alpha MAPK",0.159741513912232,-0.114272892394927,4410,"MAPK14..1432.",9.44001728471419e-05,0.37243083061172,0.000595108385251313,-0.262710843280744,4.03995802710653e-08,0.635141673892464,"sp.Q16539.MK14_HUMAN",0.00692831096041724,0.351041271590907,0.0988127994932243,-0.167999550129276,0.000627501139848199,0.519040821720183,"Scaling","Scaling","Scaling","Buffering"
"69","MAPK14","p38 alpha MAPK",0.159741513912232,-0.114272892394927,4409,"MAPK14..1432.",9.44001728471419e-05,0.37243083061172,0.000595108385251313,-0.262710843280744,4.03995802710653e-08,0.635141673892464,"sp.Q16539.2.MK14_HUMAN",0.0994117467916269,0.326785720168405,0.00938000735362458,-0.308887872881099,0.00331439545647341,0.635673593049504,"Scaling","Scaling","Scaling","Scaling"
"70","MAPK9","JNK2",0.0933118597890159,-0.0808594539898132,4416,"MAPK9..5601.",0.00955759377720726,0.323724318298042,0.0163677853161292,-0.209042703791638,0.000227616903025289,0.532767022089679,"sp.P45984.MK09_HUMAN",0.00220016649387855,0.392600768286436,0.000258936862856134,-0.308574647138718,1.97535464515677e-06,0.701175415425155,"Scaling","Buffering","Scaling","Scaling"
"71","MET","c-Met",0.115832944148514,0.0889082227103009,4553,"MET..4233.",0.00968782809178126,0.632179442042662,0.480744668696021,0.215478128417701,0.181582719604937,0.41670131362496,"sp.P08581.MET_HUMAN",0.614402453226133,0.0757923454491912,0.953734929421629,0.0111649172945995,0.737330355180574,0.0646274281545916,"Scaling","Anti-Scaling","Buffering","Buffering"
"72","MS4A1","CD20 ",-0.0457175594188318,-0.0593574612289411,4809,"MS4A1..931.",0.933607695170113,-0.0190164595896491,0.405998390373843,-0.124092661336329,0.662672970793325,0.10507620174668,"sp.P11836.CD20_HUMAN",0.903550044693619,-0.0593746909810105,0.842779372277342,-0.100840676480166,0.946506148904265,0.0414659854991553,"Buffering","Buffering","Buffering","Buffering"
"73","MSH2","MSH2",0.14986167332518,-0.101842462735426,4813,"MSH2..4436.",0.0670174092313417,0.180950643335945,0.0250741325381363,-0.255330822787442,0.0018941151851473,0.436281466123387,"sp.P43246.MSH2_HUMAN",0.00230109733793773,0.221369929663092,0.143095751642319,-0.144198983085075,0.00117596966032312,0.365568912748167,"Buffering","Scaling","Buffering","Buffering"
"74","MSH6","MSH6",0.207816056031164,-0.239970933766816,4815,"MSH6..2956.",0.0646668686905538,0.197352222450111,0.0742987590238079,-0.201524280144321,0.00356812210187752,0.398876502594432,"sp.P52701.MSH6_HUMAN",0.00086763066220443,0.290945365477299,0.164271066785022,-0.143378111462521,0.000441999714946009,0.434323476939821,"Buffering","Buffering","Scaling","Buffering"
